frame,r11,r12,r13,r21,r22,r23,r31,r32,r33,tx,ty,tz
frame_096,0.9999984768388425,-0.0008829334454680661,-0.0015055724911719748,0.0008826815683585754,0.9999995963324659,-0.00016795283244938966,0.001505720174594244,0.00016662363554236122,0.9999988525210015,0.08891383801221202,-0.015685727856524244,0.9959158033446146
frame_097,-0.3985355259388829,-0.01630975454733817,0.917007866090157,-0.016161973301869866,-0.999561727019157,-0.024802106714350368,0.9170104825919974,-0.024705177293149676,0.3980972607684037,0.5477521627296448,-0.014869148714626239,0.8365085036277272
frame_098,0.9997731999278869,-0.0003825483618297588,0.021293246880271063,0.00038867072466941717,0.9999998843130695,-0.000283388277093124,-0.021293136007199526,0.0002916000663070816,0.9997732329525433,-0.9999188683647747,0.012370660506436894,-0.003037012799204285
frame_099,0.999998604663817,-0.00011004313960608775,-0.001666901594869985,0.00010994324072292937,0.9999999921548979,-6.002239581746546e-05,0.001666908186845728,5.983904750298495e-05,0.999998608917225,0.6044405632662289,-0.0033034397514398236,0.7966433912135421
frame_100,0.9997668581572602,-0.000563887299934022,0.02158497999706948,0.0005650226235784503,0.9999998392936176,-4.649917902184376e-05,-0.021584950307928924,5.8684340145392574e-05,0.9997670160974269,-0.9999924239687162,0.0024339352849403442,-0.003037756441856809
frame_101,0.9998244688510225,-0.0035151653078397543,0.01840312744151995,0.0036551806804134557,0.9999645899536842,-0.0075801380563533735,-0.018375830347600652,0.007646074261894377,0.9998019135845948,-0.7708649780896452,-0.06017419271089135,0.6341500233276376
frame_102,0.9997445327576668,-0.0007002078702413044,0.022591567676738363,0.0006985767569173793,0.999999752787863,8.009199395009241e-05,-0.022591618172873147,-6.42895889878964e-05,0.9997447747576278,-0.9999906870762899,-0.0022042892500828055,-0.0037103732415457395
frame_103,0.999685632335629,-0.0021949003568744463,0.024976367112468062,0.0018680971783097688,0.9999124421517481,0.01310031461683523,-0.025002934120734205,-0.013049538020598973,0.9996022022998967,-0.9713893101496164,-0.2272495537287489,-0.06899600319682904
frame_104,-0.1860841091267677,-0.005631853468700207,0.9825176774781226,-0.006058544955839025,-0.999957983876163,-0.006879281600416686,0.9825151389996569,-0.007232752506953604,0.1860421697563696,0.6374201700426283,-0.004457994868360728,0.7705035062247155
frame_105,0.9997954555832781,-0.0006288115413763208,0.02021513272456034,0.0006290206430827746,0.9999998021585546,-3.985304078868384e-06,-0.020215126219164062,1.670022469321082e-05,0.9997956533177398,-0.9996825548381864,-0.00012384658050247372,0.02519472592074677
frame_106,0.9998050194616276,-0.00047941564215303503,0.01974064892491733,0.0004794685703967143,0.9999998850528334,2.051791154189683e-06,-0.019740647639446444,7.413629624023781e-06,0.9998051344016057,-0.9998386167451343,-0.0006616087233264255,0.01795279195762345
frame_107,0.9997846966388395,-0.00046262224074833293,0.020744790850864035,0.00046162687828685874,0.9999998920579711,5.2769987003307985e-05,-0.020744813024198852,-4.318227240636339e-05,0.9997848022789118,-0.9999922442684557,-0.002872158683357811,-0.0026948297599043917
frame_108,0.9997776766753327,-0.00021509552043238317,0.021084377050100314,0.00022313239392508788,0.9999999033518154,-0.0003788248866284761,-0.021084293528797416,0.0003834452725456211,0.9997776280434137,-0.9998507376880866,0.01577116242383572,-0.007054982664048133
frame_109,0.9999996017202248,-0.0002626377308222192,-0.0008529834784200552,0.00026255980799804596,0.9999999613483451,-9.146395799685628e-05,0.0008530074673375743,9.123996239028542e-05,0.999999632026697,0.49771141890277815,-0.008985059406331732,0.867296150228541
frame_110,0.999761242037252,-0.0007625486327438608,0.02183752366258744,0.0007560331193439754,0.9999996671997373,0.00030661757506503636,-0.021837750205866466,-0.00029003447654409915,0.9997614858284692,-0.9998876444209605,-0.012526344179149327,-0.008233421877238222
frame_111,0.9997803512651662,-0.0007108318989236481,0.020946215460380994,0.0007089729639237997,0.9999997440539314,9.617384503591363e-05,-0.020946278462716385,-8.130242011455213e-05,0.9997805993359137,-0.9999812165531669,-0.004478286091279474,0.004184673766636869
frame_112,0.9997658076870624,-0.0007373400790510083,0.021628363540588336,0.0007342420592807569,0.9999997190166304,0.00015117955780315483,-0.02162846893412356,-0.00013526369852791948,0.9997660681555949,-0.999975591681132,-0.006602157426053491,0.0022863856393423674
frame_113,0.9997959868174052,-0.0003979541300842349,0.020194711592928946,0.0003967897483960472,0.9999999193776795,6.166465600977795e-05,-0.020194734504488977,-5.363902107515139e-05,0.9997960641156519,-0.9999883646439856,-0.0025949252459322586,-0.00406656361259566
frame_114,0.9993953420336843,-0.004180942537619581,0.03451767722301688,0.003960892873931199,0.9999714126178028,0.0064409063645743565,-0.034543619512386756,-0.006300290997493584,0.9993833322025789,-0.9812986180879636,-0.17693578956156802,-0.07580731172438152
frame_115,0.9997967171883357,-0.0006967001750357114,0.020150407149564918,0.0006927457969746545,0.9999997394018671,0.00020322268355333926,-0.02015054348368564,-0.00018922226201469262,0.9997969392792958,-0.9999295375335031,-0.008839125371527331,-0.007924003451597501
frame_116,0.9997947059355701,-0.00040806320719494454,0.02025782484932982,0.00041060779407398485,0.9999999083254677,-0.00012145079560170917,-0.020257773432602023,0.00012974388324848906,0.9997947818337913,-0.9999217804610493,0.006103414300996277,0.010917018525018375
frame_117,0.9999999610246719,-0.0002600213444238764,0.00010168360382528663,0.0002600226202519463,0.9999999661155672,-1.2534016007225302e-05,-0.00010168034126811776,1.2560455555839147e-05,0.9999999947516716,0.7877273142002981,0.0024766696780128064,0.6160191105559071
frame_118,0.2497308966246921,-0.012333713715238642,0.9682367266206224,-0.01250175094278922,-0.9998766039647679,-0.009512258787880083,0.9682345715240661,-0.009729149493849149,-0.2498542738392412,-0.7902025835748453,0.0077765635439803705,-0.6127963788821587
frame_119,0.9998475852184385,-0.00037191393178702577,0.017454741845258134,0.0003724542527156602,0.9999999302551358,-2.7704754297786325e-05,-0.01745473032409543,3.420162451391476e-05,0.99984765400513,-0.9996368680522253,0.0010481045762263464,0.02692644624779203
frame_120,0.9997577591069211,-0.0007186345722393368,0.02199787875816945,0.0007166458284020628,0.9999997383789481,9.828932946691609e-05,-0.021997943637171502,-8.250083172614179e-05,0.9997580125557127,-0.9999656585703972,-0.0036214472567962456,0.007454314162821779
frame_121,-0.4725018437944572,0.17599912651746613,-0.8635776253909822,0.16971154707749359,-0.9433494795856906,-0.28511357413138066,-0.8648352434998257,-0.28127578429451683,0.4158652844012138,0.5132225492250564,0.16928624771503561,-0.8413945455620082
frame_122,0.9998119724506259,-0.0002565482200171075,0.019389531386802494,0.0002595300181780424,0.9999999548811165,-0.000151267758064315,-0.01938949170449441,0.0001562714809916032,0.9998119939221901,-0.9999256609694115,0.007189597736998053,0.009847955080414512
frame_123,0.999999398623105,-0.0003269162600129795,-0.0010468424844117252,0.00032689428442839044,0.9999999463461197,-2.1163289889818138e-05,0.0010468493468680506,2.0821070337802717e-05,0.9999994518363138,0.8462467728673116,-0.002068090350868148,0.5327871267344597
frame_124,-0.011920434641054023,-0.010122060925008225,0.9998777160836213,-0.010546332144015135,-0.9998918714923972,-0.010247936462497513,0.9998733310356249,-0.01066720235402397,0.011812395085748939,0.7028812610609048,-0.007235459053315152,0.7112703993431189
frame_125,0.9997763109739009,-0.0007459245079344482,0.021136972632011364,0.0007418499606735868,0.9999997047072534,0.0002006091772840545,-0.021137116029718496,-0.0001848838408971554,0.9997765691112745,-0.9994210956103087,-0.009088154670801634,-0.032785348766941246
frame_126,0.9997529947421137,-0.0005772744197461411,0.02221747641878775,0.0005761148790584922,0.9999998323293483,5.859114128927215e-05,-0.022217506516736086,-4.577685022930336e-05,0.99975315968926,-0.9999177023929019,-0.0035715205095063905,0.012322040518924098
frame_127,0.9998409250465177,-0.00021664939798247528,0.01783473199019596,0.00021557866614240915,0.9999999748434693,6.195885403900462e-05,-0.0178347449648844,-5.810421020388647e-05,0.999840946598977,-0.9999584018469365,-0.0037508493492312725,0.0083141869644491
frame_128,0.9999997538669799,-0.0006103230428149394,-0.000346080572775187,0.0006103189921604323,0.9999998136856102,-1.1809857269442711e-05,0.00034608771612343325,1.1598634816143913e-05,0.9999999400443803,-0.9086920144039723,-0.00904083498044051,-0.4173692445081541
frame_129,0.9997637818503445,-0.0009818491070389106,0.021712127316958214,0.0009772917902902186,0.9999994981385638,0.000220507091956934,-0.021712332925170143,-0.00019923592040299026,0.9997642396605283,-0.9998557004135279,-0.009741192158063258,-0.013917166590695815
frame_130,0.999831083359075,-0.000371074958694065,0.018375719098677787,0.0003699038025932002,0.9999999293321821,6.713276239103213e-05,-0.01837574271139284,-6.0324174180292545e-05,0.9998311499652321,-0.9999904926484773,-0.003510965708373709,0.002586065051482922
frame_131,0.7019627511785945,-0.004421894492552788,0.7121999317655652,-0.004520646307861686,-0.9999882452292913,-0.0017530431261485733,0.7121993117904131,-0.001989033016229484,-0.7019744895884197,0.9223636324923924,-0.002309699915263015,0.38631592607830767
frame_132,0.9998356884601665,-0.0007458551384881586,0.018111868525820203,0.0007415350199599918,0.999999694991814,0.0002452388493698228,-0.018112045914207994,-0.00023176796900867296,0.9998359365798022,-0.999927499451083,-0.011733100283048373,-0.002707434071590519
frame_133,0.9997952894844352,-0.0003449797105621989,0.020230178292184636,0.0003451297578921054,0.9999999404350182,-3.925629660363276e-06,-0.020230175732911845,1.0906862579150489e-05,0.999795348994411,-0.9999434170879655,-0.000735367862425723,0.010612344535959665
frame_134,0.9997917119712104,-0.0008720085919294556,0.020390494714250102,0.0008650352191401142,0.9999995643234577,0.0003508090145197615,-0.020390791739063413,-0.0003330974491381419,0.9997920307035577,-0.9997670062462479,-0.01592838152735488,-0.014567768646362106
frame_135,0.999836379066677,-0.0003578513218346056,0.018085547745852814,0.00035873105657671005,0.9999999346254868,-4.539880338204875e-05,-0.018085530317497128,5.187922283908931e-05,0.9998364420752432,-0.9999202358169871,0.0023485796463415002,0.012409922535838322
frame_136,0.9999019105646929,-0.0010135981905920258,0.013969318801743041,0.0010076969912636985,0.9999994000499733,0.00042947231243201014,-0.013969745733208652,-0.0004153533452088533,0.999902332073362,-0.9989363797430199,-0.026049792406272955,-0.03804625528878187
frame_137,0.887561722470135,-0.09026637724317559,0.4517589732869061,-0.09024326067654304,-0.995684414138057,-0.0216495114268174,0.45176359161436674,-0.021552925136674825,-0.8918773058609244,-0.9710229046533061,0.04673192392123753,-0.23437287796431494
frame_138,0.999860138202047,-0.0006654721433687616,0.01671110952061588,0.0006639480930237069,0.9999997749063803,9.674770688102272e-05,-0.016711170141955608,-8.563886627436425e-05,0.9998603549788697,-0.9999361789384577,-0.004593856872758675,0.010321556519708577
frame_139,0.999855290900607,-0.0006532932802939036,0.01699913132935338,0.0006484071403324403,0.9999997468757669,0.00029294467546210395,-0.016999318405249278,-0.000281879925568502,0.9998554614130307,-0.999107662166335,-0.014742389780709308,-0.039579557148539335
frame_140,0.9998028980041928,-0.0005856418033990621,0.01984495316436736,0.0005832063622077223,0.9999998216776597,0.0001285106533212467,-0.01984502488677963,-0.00011691162067174572,0.9998030612670257,-0.9999667722762642,-0.005795346255015061,-0.005733088624344922
frame_141,0.9998498274443967,-0.000592727472193683,0.017319677640017697,0.0005901690819129154,0.9999998141722264,0.00015282659353286758,-0.017319765006061024,-0.00014258210492096836,0.9998499914539573,-0.9999369930378865,-0.008650379926383648,0.007154081456001253
frame_142,0.9998944702027367,-0.00018525901416210824,0.01452632565676748,0.00018384492081449742,0.9999999782314295,9.868224531543276e-05,-0.014526343622325612,-9.600124020894372e-05,0.9998944824953923,-0.9998347794427189,-0.005937424188405672,0.01718024478104156
frame_143,0.9998945770581197,-0.0007371869602627121,0.014501424935154513,0.0007349458318701759,0.9999997171474327,0.00015987394613999815,-0.01450153869037762,-0.00014919932994601458,0.9998948360278551,-0.9999298873317483,-0.011775544657535626,0.001247785532728485
frame_144,0.9997759015411241,-0.0011223182182162079,0.021139704336856562,0.0011174131955356374,0.999999345964761,0.00024383970266638418,-0.021139964176485615,-0.00022016327398912032,0.99977650174564,-0.9999248211375515,-0.011859762563815988,0.003114178056161052
frame_145,0.999840925714249,0.01605367123373855,0.0077719306991571036,0.01605375010244231,-0.9998711288853661,5.224128177055043e-05,0.00777176778614742,7.25356617318266e-05,-0.9999697967259092,0.9999638237728568,0.008228230476194563,-0.002155775683535811
frame_146,0.9997474408885154,-0.0007215943205595434,0.022461828476348627,0.0007222227659878636,0.9999997389997725,-1.986613979363827e-05,-0.022461808278512626,3.608356631029453e-05,0.999747701106052,-0.9996020897068851,0.00139973187282962,0.02817273512303181
